ID_PROYECTO,TX_DESCRIPCIÓN,F_INICIO,F_FIN,F_BAJA,TX_LUGAR,TX_OBSERVACIONES
1,Reunión de equipo,2024-05-01,,,Madrid,Presentación de resultados
2,Entrenamiento en nuevas tecnologías,2024-05-10,,,Barcelona,Rutina de ejercicios
3,App de conferencias,2024-05-15,,,Valencia,Tema: Innovación tecnológica
4,Visita de clientes,2024-05-20,,,Sevilla,Presentación de productos
5,Entrevista de trabajo,2024-05-25,,,Bilbao,Candidato: Juan Pérez
6,Capacitación,2024-06-02,,,Málaga,Curso de liderazgo
7,Jornada de voluntariado,2024-06-10,,,Zaragoza,Limpieza y mantenimiento
8,Nueva app de Streaming,2024-06-15,,,Alicante,Planificación de tareas
9,Entrenamiento en Ciberseguridad,2024-05-10,,,Barcelona,Últimas tecnologías incluidas
10,Conferencia sobre inteligencia artificial,2024-05-15,,,Madrid,Tema: Innovación tecnológica
11,Página Web de HBO Max,2024-05-10,2024-12-10,,Madrid,Portal de Streaming
